area_type,availability,location,society,total_sqft,bath,balcony,price,size_n
Plot  Area,Ready To Move,Naganathapura,independent,600,1,0,33,1
Built-up  Area,Ready To Move,Suraksha Nagar,aritafe,1569,3,0,70,3
Built-up  Area,Not ready,"Off Sarjapur Road, ",independent,2600,3,2,147,3
Super built-up  Area,Ready To Move,Electronics City Phase 1,shiaa s,645,1,0,42.5,1
Plot  Area,Ready To Move,Nagarbhavi Garden Villas Layout,independent,1200,3,1,180,4
Plot  Area,Ready To Move,Nagarbhavi,independent,800,3,0,95,3
Built-up  Area,Ready To Move,Mico Layout,independent,800,2,1,80,2
Super built-up  Area,Ready To Move,Marathahalli,asintas,1350,2,1,90,2
Super built-up  Area,Ready To Move,BTM 2nd Stage,sne 2ev,2780,4,1,325,3
Super built-up  Area,Not ready,Rajarajeshwari Nagara,independent,1410,2,2,45.12,3
Super built-up  Area,Ready To Move,Whitefield,smuilan,1109,2,1,35.47,2
Built-up  Area,Ready To Move,Agrahara Dasarahalli,independent,800,1,0,72,1
Super built-up  Area,Ready To Move,Bannerghatta Road,snity s,1215,2,1,68,2
Plot  Area,Ready To Move,Basaveshwara Nagar,independent,1230,6,0,250,8
Built-up  Area,Ready To Move,Prithvi Layout,prigh l,2273,4,2,192,3
Super built-up  Area,Not ready,Varthur Road,independent,1255,2,2,52.76,2
Super built-up  Area,Ready To Move,B Narayanapura,independent,1020,2,1,49,2
Super built-up  Area,Not ready,T R Mill Road,independent,1225,2,2,82,3
Super built-up  Area,Ready To Move,Singasandra,independent,1120,2,1,60,2
Super built-up  Area,Ready To Move,Kasavanhalli,conixt ,1225,2,1,69,3
Plot  Area,Ready To Move,Whitefield,uke 2nz,5200,5,3,242,4
Super built-up  Area,Ready To Move,Sarjapur  Road,puallhi,1984,4,1,145,3
Super built-up  Area,Ready To Move,Old Madras Road,saciatt,2425,3,1,197,3
Plot  Area,Not ready,ITPL,independent,1200,3,1,56.12,3
Super built-up  Area,Not ready,Bommasandra,dsoodil,1127,2,1,45,2
Built-up  Area,Not ready,Whitefield,independent,1655,3,2,97,3
Super built-up  Area,Not ready,Ananth Nagar,independent,500,1,1,14,1
Plot  Area,Not ready,Varthur,independent,1200,3,1,68.38,3
Super built-up  Area,Ready To Move,Kaggadasapura,p num p,1000,2,2,43,2
Super built-up  Area,Not ready,CV Raman Nagar,independent,1225,2,2,47.88,2
Super built-up  Area,Ready To Move,Hormavu,hedosme,1350,2,2,45,2
Plot  Area,Not ready,Nagarbhavi,independent,600,5,3,95,4
Super built-up  Area,Ready To Move,Sahakara Nagar,mosom b,1175,2,3,49,2
Super built-up  Area,Ready To Move,Sanne Amanikere,hoxiaa ,655,1,2,27,1
Super built-up  Area,Not ready,Hosa Road,skume r,1311,2,1,84.86,3
Plot  Area,Ready To Move,Banashankari Stage VI,independent,600,4,0,90,3
Carpet  Area,Ready To Move,CV Raman Nagar,mancyes,1000,2,1,38.5,2
Super built-up  Area,Ready To Move,Indira Nagar Stage 2,independent,1196,2,1,96,2
Built-up  Area,Ready To Move,Kanakpura Road,wiowsri,1050,2,1,59,3
Super built-up  Area,Ready To Move,Somasundara Palya,independent,1275,2,2,52,3
Carpet  Area,Ready To Move,Hommadevanahalli,independent,927,2,1,50,2
Super built-up  Area,Ready To Move,Varthur,caestsr,1520,2,3,61,3
Plot  Area,Ready To Move,BTM Layout 2nd Stage 1st Phase,independent,2400,5,2,395,4
Built-up  Area,Ready To Move,Hebbal,prersis,1333,2,1,104,2
Super built-up  Area,Not ready,Tunganagara,dsdidsp,600,1,0,18,1
Super built-up  Area,Not ready,Abbigere,dsestma,1326,2,1,34.8,3
Super built-up  Area,Not ready,Sarjapur  Road,pualesk,1618,2,2,85.125,3
Built-up  Area,Ready To Move,Koramangala,khage g,1370,2,2,125,2
Super built-up  Area,Ready To Move,Koramangala,khage g,1100,2,2,85,2
Super built-up  Area,Ready To Move,Haralur Road,independent,1650,3,3,100,3
Super built-up  Area,Not ready,Kasavanhalli,independent,1917,3,2,132,3
Carpet  Area,Ready To Move,Doddakannelli,independent,780,3,2,75,3
Super built-up  Area,Ready To Move,Billekahalli,raony c,950,2,1,58.11,2
Super built-up  Area,Ready To Move,T C Palya main Road,independent,1175,2,1,48.72,2
Super built-up  Area,Ready To Move,8th Phase JP Nagar,independent,1089,2,1,43.55,2
Super built-up  Area,Ready To Move,Kalena Agrahara,prillot,1804,3,2,175,3
Super built-up  Area,Ready To Move,Hoodi,keers s,1257,2,1,68.5,2
Super built-up  Area,Ready To Move,Sarjapur,snityve,650,1,2,19.87,1
Super built-up  Area,Ready To Move,Whitefield,brlisco,1850,3,2,150,3
Built-up  Area,Ready To Move,Vishwapriya Nagar,independent,2800,4,1,200,4
Built-up  Area,Ready To Move,Vidyaranyapura,independent,945,2,2,40,2
Super built-up  Area,Not ready,Koramangala,independent,1161,2,1,63.85,2
Super built-up  Area,Not ready,Banashankari Stage V,naiewre,1630,3,2,51.35,3
Super built-up  Area,Ready To Move,Jalahalli,dsons s,1310,2,2,60,3
Super built-up  Area,Ready To Move,Lake City,independent,750,2,1,28,2
Plot  Area,Not ready,Whitefield,independent,1200,3,1,67.77,3
Super built-up  Area,Ready To Move,Vittal Nagar,riave e,1000,2,1,45,2
Plot  Area,Ready To Move,Old Madras Road,independent,4000,4,2,225,4
Built-up  Area,Ready To Move,Nagavara,independent,1315,2,2,70,2
Super built-up  Area,Ready To Move,Sahakara Nagar,ncensun,1370,2,2,90,3
Plot  Area,Ready To Move,Ulsoor,independent,1200,4,3,150,5
Built-up  Area,Ready To Move,Bellandur,ocavees,1465,3,3,90,2
Super built-up  Area,Not ready,Electronic City,prarkun,1128,2,1,64,2
Super built-up  Area,Ready To Move,Padmanabhanagar,silusti,1250,2,2,70,3
Super built-up  Area,Not ready,Hebbal,raard b,1645,3,2,117,3
Super built-up  Area,Ready To Move,Horamavu Agara,independent,1284,2,2,75,3
Super built-up  Area,Not ready,Hebbal,snontle,2600,3,2,199,3
Super built-up  Area,Not ready,Kodigehalli,independent,1820,3,2,150,3
Super built-up  Area,Ready To Move,Haralur Road,independent,1580,3,1,73,3
Built-up  Area,Ready To Move,Akshaya Nagar,independent,2650,3,2,125,3
Super built-up  Area,Ready To Move,Bannerghatta Road,snity s,1215,2,1,68,2
Super built-up  Area,Ready To Move,Uttarahalli,independent,1075,2,1,40,2
Super built-up  Area,Ready To Move,R.T. Nagar,janiaga,1400,2,3,78,3
Super built-up  Area,Ready To Move,Subramanyapura,independent,1400,2,1,55,3
Built-up  Area,Ready To Move,Bisuvanahalli,prityel,845,2,1,30,2
Super built-up  Area,Ready To Move,Hegde Nagar,independent,2600,4,3,40,4
Built-up  Area,Ready To Move,Sarjapur,prldsum,3508,6,0,385.5,4
Super built-up  Area,Ready To Move,Richards Town,independent,800,2,1,85,2
Super built-up  Area,Ready To Move,Panathur,prcesvy,1199,2,1,85,2
Super built-up  Area,Ready To Move,Gunjur,akncyes,1175,2,2,43.48,2
Plot  Area,Ready To Move,Sahakara Nagar,independent,2400,3,2,270,3
Super built-up  Area,Ready To Move,Bellandur,oriewla,1767,3,2,109,3
Super built-up  Area,Ready To Move,Sarjapur  Road,asncywo,1800,3,1,90,4
Super built-up  Area,Not ready,Talaghattapura,sodgere,1856,3,2,135,3
Plot  Area,Ready To Move,R.T. Nagar,independent,1200,3,2,140,3
Super built-up  Area,Not ready,Rajaji Nagar,puwerun,1613,3,0,150,3
Built-up  Area,Ready To Move,Whitefield,independent,1290,2,0,90,2
Super built-up  Area,Ready To Move,Kasavanhalli,hmonymp,1375,2,1,78,2
Super built-up  Area,Ready To Move,Bagalur,haows m,985,2,2,57,2
Plot  Area,Ready To Move,Jeevan bima nagar,independent,1200,4,1,200,4
Super built-up  Area,Ready To Move,Singasandra,independent,1099,2,1,37.5,2
Super built-up  Area,Not ready,Electronic City,sidin j,605,1,0,13.31,1
Built-up  Area,Ready To Move,RMV Extension Stage 2,independent,3600,7,3,160,7
Super built-up  Area,Ready To Move,Marathahalli,srers t,1200,2,1,53,2
Built-up  Area,Ready To Move,Hulimavu,chtali ,1000,2,1,45,2
Super built-up  Area,Ready To Move,Electronic City,itvir m,1159,2,3,38,3
Super built-up  Area,Ready To Move,Sarjapur  Road,adeatlm,3692,5,2,340,5
Plot  Area,Ready To Move,Devi Nagar,independent,600,2,1,80,2
Built-up  Area,Ready To Move,BTM Layout,myace p,1540,2,2,78,3
Built-up  Area,Ready To Move,"JP Nagar 7th Phase, ",independent,1503,2,2,93,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,soechha,1850,4,2,120,3
Built-up  Area,Ready To Move,Uttarahalli,sungspr,1580,3,1,60,3
Super built-up  Area,Ready To Move,Mico Layout,amsomun,1190,2,2,39.25,2
Plot  Area,Ready To Move,Sampigehalli,independent,1200,2,1,61,2
Plot  Area,Ready To Move,HAL 2nd Stage,independent,1000,7,3,250,7
Super built-up  Area,Not ready,Jakkur,independent,850,1,1,19.9,2
Super built-up  Area,Ready To Move,Domlur,independent,2180,3,2,285,3
Super built-up  Area,Ready To Move,Hennur Bande,independent,2500,2,1,60,3
Plot  Area,Not ready,ITPL,independent,1200,3,1,56.12,3
Super built-up  Area,Ready To Move,Kamakshipalya,independent,1500,2,2,52,3
Plot  Area,Ready To Move,Navodaya Nagar,independent,1200,3,2,180,5
Super built-up  Area,Ready To Move,Thanisandra,r ra  r,1880,3,3,120,3
Super built-up  Area,Ready To Move,Padmanabhanagar,saalpas,1150,2,2,45,2
Plot  Area,Not ready,Kasavanhalli,independent,4408,4,2,344,4
Super built-up  Area,Ready To Move,Bellandur,independent,924,2,2,35.11,2
Super built-up  Area,Ready To Move,Sarjapur  Road,maana e,7800,6,2,385,5
Plot  Area,Ready To Move,Kumaraswami Layout,independent,600,6,3,100,6
Plot  Area,Not ready,Pattanagere,independent,750,4,1,95,4
Built-up  Area,Ready To Move,Karuna Nagar,coinocu,1962,3,2,175,3
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,independent,1200,4,3,240,5
Super built-up  Area,Not ready,B Narayanapura,independent,1765,3,2,77.27,3
Super built-up  Area,Ready To Move,Attibele,dsvar s,1174,2,1,29.35,2
Super built-up  Area,Not ready,Bannerghatta Road,saenett,1894,3,1,115,3
Plot  Area,Ready To Move,Ramamurthy Nagar,independent,960,2,2,138,4
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,saitya ,1760,3,2,142,3
Built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,independent,1768,3,3,95,3
Built-up  Area,Ready To Move,Kothanur,somumys,1790,3,0,97,3
Plot  Area,Not ready,Whitefield,independent,1200,2,1,45,2
Built-up  Area,Ready To Move,Kengeri,unuil t,2540,4,0,160,4
Super built-up  Area,Ready To Move,Mahadevpura,neisei ,1137,2,1,53.4,2
Plot  Area,Ready To Move,Guni Agrahara,independent,1200,6,2,115,7
Super built-up  Area,Ready To Move,Mysore Road,saodysa,1568,2,2,100,3
Built-up  Area,Ready To Move,Devanahalli,pardst ,4900,4,0,393.5,4
Super built-up  Area,Ready To Move,AECS Layout,concyvi,1308,2,1,60,2
Super built-up  Area,Not ready,Shankarapuram,independent,3060,4,2,350,4
Super built-up  Area,Ready To Move,Bisuvanahalli,prityel,1200,2,1,41,3
Super built-up  Area,Ready To Move,Shetty Halli,independent,800,1,2,32,1
Super built-up  Area,Not ready,Electronic City,shntie ,530,1,1,13.5,1
Built-up  Area,Ready To Move,Bisuvanahalli,prityel,873,2,1,40,3
Plot  Area,Ready To Move,AGB Layout,independent,3000,6,3,145,7
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,independent,1200,4,1,235,4
Super built-up  Area,Ready To Move,Subramanyapura,independent,958,2,1,33.53,2
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,2072,4,2,160,3
Super built-up  Area,Not ready,Talaghattapura,sodgere,2273,3,3,159,3
Plot  Area,Not ready,Banashankari Stage VI,independent,600,3,2,90,3
Super built-up  Area,Ready To Move,Thanisandra,bhmesy ,760,1,2,50,1
Super built-up  Area,Ready To Move,Dommasandra,independent,1090,2,2,43.5,2
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,2072,4,2,155,3
Super built-up  Area,Ready To Move,Bellandur,independent,2666,3,1,230,3
Super built-up  Area,Ready To Move,Sarjapur  Road,kpiteel,1550,2,1,89,3
Super built-up  Area,Not ready,Ramagondanahalli,viistla,1251,2,1,50,2
Super built-up  Area,Ready To Move,Electronic City,gmown e,1070,2,1,53,2
Super built-up  Area,Ready To Move,Kalena Agrahara,independent,1200,2,2,45,2
Built-up  Area,Ready To Move,CV Raman Nagar,srshq t,1435,2,2,60,3
Built-up  Area,Ready To Move,Bommasandra,niara s,1400,2,3,45,3
Super built-up  Area,Ready To Move,Judicial Layout,mnnia e,2330,3,2,94.71,4
Super built-up  Area,Ready To Move,Thanisandra,inulat ,1200,2,3,60,2
Super built-up  Area,Ready To Move,Panathur,independent,1000,2,2,40,2
Super built-up  Area,Not ready,Bannerghatta Road,dsnjh s,1655,2,2,62.89,3
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,independent,3600,9,3,240,9
Plot  Area,Ready To Move,Bidrahalli,independent,600,1,1,35,1
Super built-up  Area,Ready To Move,Electronics City Phase 1,avine a,1175,2,1,50,2
Super built-up  Area,Ready To Move,Uttarahalli,slnsspr,1155,2,2,40.43,2
Plot  Area,Ready To Move,Magadi Road,anensva,1200,3,2,98,3
Super built-up  Area,Ready To Move,Budigere,pritytr,1149,2,2,65,2
Super built-up  Area,Ready To Move,Jakkur,brdgeno,1610,2,2,98.485,3
Plot  Area,Ready To Move,Choodasandra,lglaras,3200,4,2,375,4
Super built-up  Area,Ready To Move,Chinnapanahalli,independent,1010,2,2,55,2
Super built-up  Area,Ready To Move,Hegde Nagar,soiniy ,1718,3,2,119,3
Super built-up  Area,Ready To Move,Bilal Nagar,independent,650,1,1,20,2
Super built-up  Area,Ready To Move,Banashankari,bregae ,1330,2,2,77,2
Super built-up  Area,Ready To Move,Hormavu,srarkha,1200,2,2,68,2
Super built-up  Area,Not ready,Bannerghatta Road,hiatei ,1693,3,2,89,3
Super built-up  Area,Not ready,Koramangala,prood p,1249,2,1,165,2
Built-up  Area,Ready To Move,Thanisandra,g conth,1800,4,1,125,3
Plot  Area,Ready To Move,Margondanahalli,independent,900,2,0,55,2
Super built-up  Area,Ready To Move,NGR Layout,bsian m,1020,2,1,46,2
Super built-up  Area,Ready To Move,Amruthahalli,independent,1700,3,2,77,3
Built-up  Area,Not ready,Panathur,independent,661,1,1,40,1
Super built-up  Area,Not ready,Bannerghatta Road,grarken,1280,2,2,60.16,2
Plot  Area,Ready To Move,Krishna Nagar,independent,1000,4,2,90,5
Super built-up  Area,Ready To Move,Hosur Road,independent,1170,2,1,48,2
Super built-up  Area,Ready To Move,Thanisandra,bhmesy ,933,2,1,58,1
Built-up  Area,Ready To Move,Sarjapur  Road,shthi s,1150,2,0,44,2
Super built-up  Area,Ready To Move,Rajaji Nagar,tiitela,1380,3,3,130,3
Built-up  Area,Ready To Move,Banjara Layout,independent,1050,2,1,64.8,2
Super built-up  Area,Ready To Move,Kanakapura Main Road,independent,1080,2,1,37.8,2
Super built-up  Area,Ready To Move,Harlur,prncyrn,1303,2,1,90,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1196,2,2,40.54,2
Built-up  Area,Ready To Move,Nagarbhavi,independent,2500,3,2,180,5
Plot  Area,Ready To Move,Sarjapur  Road,independent,1200,4,1,95,5
Super built-up  Area,Not ready,Bommanahalli,independent,1250,3,2,41,3
Super built-up  Area,Ready To Move,Akshaya Nagar,dlhtsnd,1419,2,3,87,3
Super built-up  Area,Ready To Move,Banashankari,vimesar,1200,2,3,49,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,independent,1120,2,2,65,2
Super built-up  Area,Ready To Move,Electronics City Phase 1,shitt s,755,1,0,45.4,1
Super built-up  Area,Ready To Move,Electronics City Phase 1,sndri n,1245,2,1,75,2
Built-up  Area,Ready To Move,Palanahalli,rmaansa,3978,4,3,428,4
Super built-up  Area,Ready To Move,Channasandra,unm 2el,1093,2,1,34,2
Super built-up  Area,Not ready,Electronic City,independent,1025,1,1,26.63,2
Super built-up  Area,Ready To Move,Hebbal,prersis,1345,2,1,97,2
Plot  Area,Ready To Move,Suryanagar,independent,1500,2,1,45,2
Super built-up  Area,Not ready,Vijayanagar,saityat,1180,2,1,86,2
Super built-up  Area,Ready To Move,NGR Layout,bsian m,1020,2,1,48.45,2
Super built-up  Area,Ready To Move,Nanjappa Layout,independent,1800,3,3,85,3
Super built-up  Area,Ready To Move,Banagiri Nagar,independent,2008,3,2,170,3
Super built-up  Area,Not ready,Kothannur,independent,1240,2,2,39.85,3
Super built-up  Area,Ready To Move,CV Raman Nagar,jkmesho,1020,2,1,55,2
Super built-up  Area,Ready To Move,2nd Stage Arekere Mico Layout,brrialu,2095,3,2,142,3
Super built-up  Area,Ready To Move,Gunjur,dserste,1362,3,2,62.63,3
Super built-up  Area,Ready To Move,Yelahanka,neite t,694,1,0,30.84,1
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1404,2,2,70,2
Super built-up  Area,Ready To Move,Electronic City Phase II,independent,1192,2,3,47,3
Plot  Area,Ready To Move,Mahalakshmi Layout,independent,1050,1,0,35,4
Super built-up  Area,Ready To Move,Vittasandra,independent,1259,2,1,67.48,2
Super built-up  Area,Ready To Move,Kengeri,independent,1000,2,2,34,2
Super built-up  Area,Not ready,Rachenahalli,asnowre,985,2,1,49.97,2
Built-up  Area,Ready To Move,Indira Nagar,goilsda,850,1,2,60,1
Built-up  Area,Ready To Move,Uttarahalli,independent,1650,2,1,50,3
Plot  Area,Ready To Move,Rajaji Nagar,independent,2400,3,1,320,5
Super built-up  Area,Ready To Move,Sarjapur  Road,independent,1900,4,1,180,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,soechha,1367,2,2,86,2
Super built-up  Area,Ready To Move,Rajaji Nagar,raesta ,1210,2,2,81,3
Super built-up  Area,Ready To Move,Duvasapalya,independent,1190,2,1,48.6,2
Super built-up  Area,Ready To Move,Sarjapur,independent,1175,2,2,42,2
Super built-up  Area,Ready To Move,R.T. Nagar,independent,2800,4,2,400,4
Super built-up  Area,Ready To Move,Whitefield,ssthamh,1140,2,2,40,2
Super built-up  Area,Ready To Move,Hoskote,vrowsa ,1095,2,2,33.6,2
Super built-up  Area,Ready To Move,Attibele,dsvar s,782,1,0,19.55,1
Super built-up  Area,Ready To Move,Gubbalala,mauiltr,1435,2,2,80,3
Super built-up  Area,Ready To Move,Choodasandra,maidsr ,725,2,2,36,2
Built-up  Area,Ready To Move,BCMC Layout,sutesga,1600,2,2,88,3
Plot  Area,Ready To Move,9th Phase JP Nagar,independent,1200,5,2,160,5
Super built-up  Area,Ready To Move,Hosakerehalli,taonte ,3205,4,2,300,4
Plot  Area,Ready To Move,Vishwapriya Layout,independent,720,3,1,95,4
Super built-up  Area,Ready To Move,Nehru Nagar,veyalin,1674,3,2,90,3
Plot  Area,Ready To Move,Jnanabharathi Layout,independent,860,4,2,125,4
Super built-up  Area,Ready To Move,Haralur Road,rinceeg,1243,2,2,46,2
Super built-up  Area,Not ready,Kanakpura Road,soazak ,1703,3,2,130,3
Super built-up  Area,Not ready,Padmanabhanagar,independent,1350,3,1,71.55,3
Super built-up  Area,Ready To Move,Horamavu Agara,suise s,1145,2,1,41.21,2
Super built-up  Area,Not ready,Whitefield,prtates,1216,2,1,75,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,panorse,1100,3,1,60,2
Super built-up  Area,Ready To Move,Sarjapur  Road,puallhi,2425,5,1,201,4
Plot  Area,Ready To Move,Kothanur,independent,2700,4,2,175,4
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1196,2,2,40.54,2
Carpet  Area,Ready To Move,Kanakpura Road,puandhi,1600,3,3,90,3
Super built-up  Area,Not ready,Banashankari Stage V,naiewre,1510,3,3,47.57,3
Super built-up  Area,Ready To Move,Hosakerehalli,taonte ,3033,4,1,326,4
Plot  Area,Ready To Move,Pai Layout,independent,780,2,1,72,2
Super built-up  Area,Ready To Move,Haralur Road,independent,1194,2,2,47,2
Built-up  Area,Ready To Move,Banashankari Stage II,independent,1250,2,2,110,2
Plot  Area,Ready To Move,Sarjapur  Road,owlotou,1480,4,1,169,5
Plot  Area,Ready To Move,Horamavu Agara,independent,1250,4,1,100,4
Plot  Area,Ready To Move,Udaya Nagar,independent,1350,4,2,160,4
Built-up  Area,Ready To Move,Laggere,independent,620,2,0,48,1
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,i1rtsco,1630,3,2,60.65,3
Built-up  Area,Ready To Move,Hennur Road,independent,1020,2,0,45,2
Super built-up  Area,Not ready,Hosakerehalli,maunt m,1410,2,2,53.58,3
Plot  Area,Ready To Move,9th Block Jayanagar,independent,1200,8,3,270,9
Super built-up  Area,Ready To Move,Sarjapur  Road,klark l,1691,3,2,113,3
Built-up  Area,Ready To Move,KR Puram,independent,1200,4,0,83,4
Super built-up  Area,Ready To Move,Banaswadi,independent,1200,2,3,60,2
Super built-up  Area,Ready To Move,Old Airport Road,independent,1050,2,2,50,2
Super built-up  Area,Ready To Move,Kathriguppe,prone m,1300,3,2,77.99,3
Super built-up  Area,Not ready,Whitefield,preaunt,1356,2,1,94.84,2
Super built-up  Area,Not ready,Whitefield,goted u,1338,2,1,103,2
Super built-up  Area,Ready To Move,Kengeri Satellite Town Stage II,independent,500,1,1,20,1
Super built-up  Area,Not ready,Vasantha Vallabha Nagar,maityse,1280,2,1,100,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1531,3,3,51.77,3
Built-up  Area,Ready To Move,Anekal,independent,620,1,1,23.5,2
Super built-up  Area,Ready To Move,8th Phase JP Nagar,yaenti ,1605,2,2,65,3
Super built-up  Area,Ready To Move,Thanisandra,bhmesy ,1917,3,2,110,3
Plot  Area,Ready To Move,Nagarbhavi,independent,1200,3,1,340,4
Built-up  Area,Ready To Move,Sarjapur  Road,viissmi,1400,3,2,55,3
Built-up  Area,Ready To Move,Thubarahalli,shdhisa,2625,3,3,175,3
Built-up  Area,Ready To Move,Sahakara Nagar,independent,1100,2,1,55,2
Super built-up  Area,Ready To Move,Hennur Road,sairesa,2041,3,3,128,3
Super built-up  Area,Ready To Move,Sarjapur  Road,soniaet,2070,4,2,160,3
Super built-up  Area,Ready To Move,Hebbal,arcia s,1110,3,3,59,3
Built-up  Area,Ready To Move,Uday Nagar,koncyad,1650,3,1,110,3
Plot  Area,Not ready,Ambedkar Nagar,thessrm,3565,4,3,255,4
Super built-up  Area,Not ready,Varthur Road,independent,1033,2,2,30.47,3
Super built-up  Area,Ready To Move,HSR Layout,siestr ,1142,2,2,65,2
Super built-up  Area,Ready To Move,Mathikere,independent,1500,2,2,75,3
Super built-up  Area,Ready To Move,Electronic City Phase II,rie 2ri,1502,3,3,50,3
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,prinepr,1176,2,1,45,3
Super built-up  Area,Not ready,Hosa Road,independent,1063,2,1,32.8,2
Built-up  Area,Ready To Move,Kammanahalli,independent,1100,2,1,60,2
Plot  Area,Ready To Move,Kamakshipalya,independent,1044,2,2,85,2
Built-up  Area,Ready To Move,6th Phase JP Nagar,independent,1216,2,2,60,2
Super built-up  Area,Ready To Move,Suddaguntepalya,msanaer,1425,3,2,55,3
Plot  Area,Ready To Move,Hongasandra,independent,1200,8,2,150,8
Super built-up  Area,Ready To Move,Hosur Road,saageat,1345,2,2,108,2
Super built-up  Area,Ready To Move,Marathahalli,independent,1248,2,1,130,2
Plot  Area,Ready To Move,Chaitanya Ananya,srgio v,1830,4,2,325,4
Built-up  Area,Ready To Move,Shankarapuram,independent,900,1,0,130,2
Built-up  Area,Ready To Move,Bellandur,vaodssh,3600,4,2,245,4
Super built-up  Area,Ready To Move,Uttarahalli,independent,1025,2,1,35.88,2
Plot  Area,Ready To Move,Nagashetty Halli,independent,840,1,1,99,2
Super built-up  Area,Ready To Move,Lakshminarayana Pura,srasy f,3050,2,2,90,3
Super built-up  Area,Ready To Move,Kadubeesanahalli,independent,1424,2,2,75,3
Built-up  Area,Ready To Move,EPIP Zone,independent,2500,3,1,268,3
Plot  Area,Ready To Move,ISRO Layout,independent,1200,6,2,230,6
Super built-up  Area,Not ready,Byrasandra Extension,independent,1285,2,2,45,2
Super built-up  Area,Ready To Move,Babusapalaya,independent,1450,2,1,55.99,2
Super built-up  Area,Not ready,Raja Rajeshwari Nagar,prllsan,1160,2,1,70,2
Plot  Area,Ready To Move,Yelahanka New Town,independent,2700,3,0,350,3
Plot  Area,Not ready,Gattahalli,miiewa ,2000,2,2,95,3
Super built-up  Area,Ready To Move,Uttarahalli,aklia r,1125,2,1,47.65,2
Built-up  Area,Ready To Move,Old Madras Road,saive l,3900,4,2,175,4
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1133,2,1,38.37,2
Super built-up  Area,Ready To Move,Arekere,nihtsss,1240,2,2,60,2
Super built-up  Area,Not ready,Devanahalli,sabixtt,1466,3,3,77.59,3
Super built-up  Area,Ready To Move,Outer Ring Road East,prstate,3870,4,2,411,4
Super built-up  Area,Ready To Move,Ramagondanahalli,dneremo,1610,2,2,115,3
Super built-up  Area,Ready To Move,Sarjapur  Road,independent,1220,3,2,56,3
Built-up  Area,Ready To Move,Kaggadasapura,vsomepi,1225,2,2,48,2
Super built-up  Area,Ready To Move,Akshaya Nagar,javasi ,1300,2,1,54,2
Super built-up  Area,Not ready,Thanisandra,g conth,1996,4,1,123,3
Super built-up  Area,Ready To Move,Mallathahalli,independent,1320,2,2,55,3
Super built-up  Area,Ready To Move,Rajaji Nagar,brway g,1800,3,2,240,3
Super built-up  Area,Ready To Move,Richmond Town,independent,1835,3,3,175,3
Super built-up  Area,Ready To Move,Sarjapur  Road,puinesu,1435,3,2,90,3
Super built-up  Area,Ready To Move,Whitefield,vdarmlo,4097,3,2,400,3
Super built-up  Area,Ready To Move,Rayasandra,mjeusyl,1601,3,3,70,3
Super built-up  Area,Ready To Move,Kadubeesanahalli,krshi g,1257,2,2,93,2
Super built-up  Area,Ready To Move,Iblur Village,emine p,3596,5,1,260,4
Super built-up  Area,Ready To Move,Kasavanhalli,salisal,1309,2,2,95,2
Plot  Area,Ready To Move,Yeshwanthpur,independent,1362,2,0,100,2
Super built-up  Area,Ready To Move,Whitefield,gamesti,1115,2,1,55,2
Super built-up  Area,Ready To Move,Whitefield,brony h,1870,3,2,90,3
Super built-up  Area,Not ready,manyata park,independent,1322,2,1,61.99,2
Super built-up  Area,Ready To Move,Telecom Layout,independent,1450,2,1,65,3
Super built-up  Area,Ready To Move,Banashankari,goeesem,1185,2,2,67,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,eladero,1790,3,3,120,3
Plot  Area,Ready To Move,Whitefield,stodswa,3450,4,2,208,3
Super built-up  Area,Ready To Move,Rachenahalli,independent,1050,2,2,52.5,2
Super built-up  Area,Ready To Move,Budigere,pritytr,664,1,0,27.375,1
Super built-up  Area,Ready To Move,Devanahalli,independent,775,1,0,39,1
Built-up  Area,Ready To Move,Hoodi,macanr ,1000,2,2,48,2
Super built-up  Area,Not ready,Thanisandra,bhe 2ko,1183,2,1,77.25,2
Super built-up  Area,Not ready,Binny Pete,shestlo,1282,3,2,178,3
Super built-up  Area,Ready To Move,Alur,independent,425,1,1,15,1
Built-up  Area,Ready To Move,Nelamangala,independent,820,2,2,30,2
Built-up  Area,Ready To Move,Hebbal,srntsha,1200,2,2,52,2
Super built-up  Area,Not ready,Ramagondanahalli,viistla,1151,2,2,43.6,2
